seed,class_0,class_1,train_samples,val_samples,train_jian_samples,train_la_samples,val_jian_samples,val_la_samples,input_dim,epochs,batch_size,learning_rate,best_epoch,best_val_loss,training_time_seconds,training_time_minutes,training_time_hours,training_time_hms,model_path,history_path,threshold,accuracy,precision,recall_sensitivity_tpr,specificity_tnr,f1_score,negative_predictive_value,false_positive_rate,false_negative_rate,balanced_accuracy,roc_auc,pr_auc,matthews_corrcoef,cohen_kappa,binary_log_loss,true_negative,false_positive,false_negative,true_positive
7,jian,la,28259,3140,11420,16839,1269,1871,1024,100,2000,0.001,13,0.03740513324737549,17.843848705291748,0.29739747842152914,0.004956624640358819,00:00:17,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_training_curve_seed7.csv,0.5,0.9923566878980892,0.993059263214095,0.9941207910208445,0.9897557131599685,0.9935897435897436,0.9913180741910024,0.01024428684003152,0.005879208979155532,0.9919382520904065,0.9987151997284252,0.9983717760858224,0.9841268889329993,0.9841260278797167,0.030645075496174616,1256,13,11,1860
19,jian,la,28259,3140,11420,16839,1269,1871,1024,100,2000,0.001,10,0.03144853934645653,17.441950798034668,0.2906991799672445,0.004844986332787408,00:00:17,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed19.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_training_curve_seed19.csv,0.5,0.9917197452229299,0.9925253603844101,0.9935863174772849,0.9889676910953507,0.9930555555555556,0.9905288082083662,0.01103230890464933,0.006413682522715126,0.9912770042863177,0.998955481175707,0.9994339664569184,0.982804056765575,0.9828031968696931,0.03144855335590546,1255,14,12,1859
42,jian,la,28259,3140,11420,16839,1269,1871,1024,100,2000,0.001,25,0.062010087072849274,18.142175912857056,0.3023695985476176,0.00503949330912696,00:00:18,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed42.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_training_curve_seed42.csv,0.5,0.9904458598726115,0.9951586874663798,0.9887760555852485,0.9929078014184397,0.9919571045576407,0.9836065573770492,0.0070921985815602835,0.01122394441475147,0.9908419285018442,0.9969060341599774,0.9969947889209482,0.9802234646543901,0.9801926985492728,0.04926177436606303,1260,9,21,1850
66,jian,la,28259,3140,11420,16839,1269,1871,1024,100,2000,0.001,8,0.09055522084236145,17.46216130256653,0.29103602170944215,0.004850600361824036,00:00:17,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed66.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_training_curve_seed66.csv,0.5,0.9888535031847133,0.9893390191897654,0.9919828968466061,0.9842395587076438,0.9906591940218842,0.9881329113924051,0.015760441292356184,0.008017103153393906,0.9881112277771249,0.9949420860641396,0.995898792736978,0.9768469932943848,0.9768416474417922,0.06639308628243441,1249,20,15,1856
88,jian,la,28259,3140,11420,16839,1269,1871,1024,100,2000,0.001,7,0.05148915946483612,17.557182550430298,0.2926197091738383,0.004876995152897305,00:00:17,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed88.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_training_curve_seed88.csv,0.5,0.9843949044585987,0.9897849462365591,0.9839657936932121,0.9850275807722616,0.9868667917448405,0.9765625,0.014972419227738377,0.016034206306787813,0.9844966872327369,0.9982131568096521,0.9988442796347945,0.9676695059961621,0.9676439786171828,0.051337736902584793,1250,19,30,1841
100,jian,la,28259,3140,11420,16839,1269,1871,1024,100,2000,0.001,10,0.034928228706121445,17.60443687438965,0.29340728123982746,0.004890121353997125,00:00:17,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed100.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_training_curve_seed100.csv,0.5,0.989171974522293,0.9919657204070702,0.9898450026723677,0.9881796690307328,0.990904226859283,0.9850746268656716,0.01182033096926714,0.010154997327632281,0.9890123358515504,0.9990597224696637,0.9994223477337103,0.9775323855924706,0.9775289696540059,0.03492757285726238,1254,15,19,1852
123,jian,la,28259,3140,11420,16839,1269,1871,1024,100,2000,0.001,17,0.04298048093914986,17.76213836669922,0.29603563944498695,0.0049339273240831165,00:00:17,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed123.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_training_curve_seed123.csv,0.5,0.9910828025477707,0.9946323134728932,0.9903794762159273,0.9921197793538219,0.9925013390465989,0.9859044635865309,0.007880220646178092,0.009620523784072688,0.9912496277848746,0.9981708285266514,0.9985611704271609,0.9815175258341775,0.9815038202016487,0.035644661540859136,1259,10,18,1853
256,jian,la,28259,3140,11420,16839,1269,1871,1024,100,2000,0.001,16,0.0668344795703888,17.993322134017944,0.2998887022336324,0.004998145037227206,00:00:17,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed256.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_training_curve_seed256.csv,0.5,0.9875796178343949,0.9893162393162394,0.9898450026723677,0.9842395587076438,0.9895805503606733,0.9850157728706624,0.015760441292356184,0.010154997327632281,0.9870422806900058,0.9967609387023285,0.9979206922158088,0.9742082789268333,0.9742080658871659,0.06238241782146497,1249,20,19,1852
512,jian,la,28259,3140,11420,16839,1269,1871,1024,100,2000,0.001,17,0.04963581636548042,17.75924801826477,0.2959874669710795,0.004933124449517992,00:00:17,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed512.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_training_curve_seed512.csv,0.5,0.9910828025477707,0.9946323134728932,0.9903794762159273,0.9921197793538219,0.9925013390465989,0.9859044635865309,0.007880220646178092,0.009620523784072688,0.9912496277848746,0.997444508884517,0.9982417219993531,0.9815175258341775,0.9815038202016487,0.043110398626421936,1259,10,18,1853
2024,jian,la,28259,3140,11420,16839,1269,1871,1024,100,2000,0.001,6,0.06491171568632126,17.54184865951538,0.29236414432525637,0.004872735738754273,00:00:17,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed2024.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_training_curve_seed2024.csv,0.5,0.9882165605095541,0.9908993576017131,0.9893105291288081,0.9866036249014972,0.9901043059641615,0.9842767295597484,0.013396375098502758,0.010689470871191877,0.9879570770151527,0.9966577503507352,0.9975890074836598,0.9755450507960978,0.9755431327524985,0.05717064422728285,1252,17,20,1851
