input_snr_db,noise_type,method,model_count,mean_accuracy,std_accuracy,min_accuracy,max_accuracy
0,normal,noise_augmented,10,0.9563650710152551,0.002771636712717115,0.9530510257759074,0.960678590215676
0,normal,non_denoised,10,0.8711073119410836,0.018148814161526288,0.849026827985271,0.908863755917938
0,normal,proposed,10,0.9041951604418728,0.004526962389805958,0.8959758022093635,0.9099158337716992
0,truck,noise_augmented,10,0.9595739084692267,0.0024131627661004964,0.9569963177275118,0.9638348237769596
0,truck,non_denoised,10,0.8654392425039452,0.00840103728221819,0.8556023145712782,0.8795370857443451
0,truck,proposed,10,0.9046422935297211,0.004373322025415437,0.8978169384534456,0.9099158337716992
5,normal,noise_augmented,10,0.9655049973698053,0.006516495570063417,0.9506838506049448,0.97330352446081
5,normal,non_denoised,10,0.9327722251446607,0.009778956908022697,0.9200420831141504,0.9496317727511836
5,normal,proposed,10,0.9426354550236716,0.0035708921724348936,0.9371383482377696,0.9475276170436612
5,truck,noise_augmented,10,0.9640057864281957,0.005023851532011997,0.9530510257759074,0.9698842714360862
5,truck,non_denoised,10,0.9359810625986323,0.004830703297022628,0.9305628616517624,0.9433193056286164
5,truck,proposed,10,0.9442661756970014,0.003925173243801464,0.9385849552866912,0.9506838506049448
10,normal,noise_augmented,10,0.9643740136770121,0.007516777939594373,0.9454234613361387,0.97317201472909
10,normal,non_denoised,10,0.9631509731720147,0.0046453536305751135,0.9573908469226724,0.9687006838506048
10,normal,proposed,10,0.9626906891109941,0.0034811045249387444,0.9593634928984744,0.967780115728564
10,truck,noise_augmented,10,0.9653866386112572,0.007141945785514832,0.9470015781167808,0.9742240925828513
10,truck,non_denoised,10,0.9609021567596002,0.0020098485052900262,0.9581799053129932,0.9656759600210416
10,truck,proposed,10,0.9614676486059969,0.0025613468627023158,0.9579168858495528,0.966991057338243
15,normal,noise_augmented,10,0.9698053655970542,0.004528214459054648,0.962519726459758,0.9775118358758548
15,normal,non_denoised,10,0.9717385586533404,0.003595374409110037,0.9652814308258812,0.9765912677538138
15,normal,proposed,10,0.967017359284587,0.00327738153254164,0.9609416096791162,0.971330878485008
15,truck,noise_augmented,10,0.9678458705944241,0.004321072614618869,0.9618621778011572,0.9760652288269333
15,truck,non_denoised,10,0.9732114676486059,0.0027711166700493087,0.9680431351920042,0.9775118358758548
15,truck,proposed,10,0.9707127827459232,0.002932827550505434,0.9648869016307208,0.975144660704892
