input_snr_db,noise_type,classifier_seed,method,accuracy,threshold,denoise_model_seed
0,normal,42,non_denoised,0.8658049040511727,0.5,7
0,normal,42,wavelet,0.8594083155650319,0.5,7
0,normal,42,proposed,0.9167110874200426,0.5,7
0,truck,42,non_denoised,0.8595415778251599,0.5,7
0,truck,42,wavelet,0.8600746268656716,0.5,7
0,truck,42,proposed,0.9183102345415778,0.5,7
0,normal,123,non_denoised,0.8610074626865671,0.5,7
0,normal,123,wavelet,0.8586087420042644,0.5,7
0,normal,123,proposed,0.9165778251599147,0.5,7
0,truck,123,non_denoised,0.8592750533049041,0.5,7
0,truck,123,wavelet,0.8615405117270789,0.5,7
0,truck,123,proposed,0.9167110874200426,0.5,7
0,normal,2024,non_denoised,0.8932569296375267,0.5,7
0,normal,2024,wavelet,0.8903251599147122,0.5,7
0,normal,2024,proposed,0.9245735607675906,0.5,7
0,truck,2024,non_denoised,0.875,0.5,7
0,truck,2024,wavelet,0.8816631130063965,0.5,7
0,truck,2024,proposed,0.9227078891257996,0.5,7
0,normal,7,non_denoised,0.8491471215351812,0.5,7
0,normal,7,wavelet,0.8550106609808102,0.5,7
0,normal,7,proposed,0.9221748400852878,0.5,7
0,truck,7,non_denoised,0.8568763326226013,0.5,7
0,truck,7,wavelet,0.8586087420042644,0.5,7
0,truck,7,proposed,0.9191098081023454,0.5,7
0,normal,19,non_denoised,0.8784648187633263,0.5,7
0,normal,19,wavelet,0.8797974413646056,0.5,7
0,normal,19,proposed,0.9249733475479744,0.5,7
0,truck,19,non_denoised,0.8551439232409381,0.5,7
0,truck,19,wavelet,0.8603411513859275,0.5,7
0,truck,19,proposed,0.9233742004264393,0.5,7
0,normal,66,non_denoised,0.8831289978678039,0.5,7
0,normal,66,wavelet,0.8825959488272921,0.5,7
0,normal,66,proposed,0.9281716417910447,0.5,7
0,truck,66,non_denoised,0.8674040511727079,0.5,7
0,truck,66,wavelet,0.8740671641791045,0.5,7
0,truck,66,proposed,0.9272388059701493,0.5,7
0,normal,88,non_denoised,0.9104477611940298,0.5,7
0,normal,88,wavelet,0.9012526652452025,0.5,7
0,normal,88,proposed,0.9188432835820896,0.5,7
0,truck,88,non_denoised,0.8765991471215352,0.5,7
0,truck,88,wavelet,0.8791311300639659,0.5,7
0,truck,88,proposed,0.9221748400852878,0.5,7
0,normal,100,non_denoised,0.8800639658848614,0.5,7
0,normal,100,wavelet,0.8795309168443497,0.5,7
0,normal,100,proposed,0.9197761194029851,0.5,7
0,truck,100,non_denoised,0.8571428571428571,0.5,7
0,truck,100,wavelet,0.8670042643923241,0.5,7
0,truck,100,proposed,0.9249733475479744,0.5,7
0,normal,256,non_denoised,0.8532782515991472,0.5,7
0,normal,256,wavelet,0.8563432835820896,0.5,7
0,normal,256,proposed,0.9143123667377399,0.5,7
0,truck,256,non_denoised,0.8642057569296375,0.5,7
0,truck,256,wavelet,0.8690031982942431,0.5,7
0,truck,256,proposed,0.9173773987206824,0.5,7
0,normal,512,non_denoised,0.8716684434968017,0.5,7
0,normal,512,wavelet,0.8706023454157783,0.5,7
0,normal,512,proposed,0.92590618336887,0.5,7
0,truck,512,non_denoised,0.8662046908315565,0.5,7
0,truck,512,wavelet,0.8667377398720683,0.5,7
0,truck,512,proposed,0.9248400852878464,0.5,7
5,normal,42,non_denoised,0.9276385927505331,0.5,19
5,normal,42,wavelet,0.9187100213219617,0.5,19
5,normal,42,proposed,0.9621535181236673,0.5,19
5,truck,42,non_denoised,0.9276385927505331,0.5,19
5,truck,42,wavelet,0.9232409381663113,0.5,19
5,truck,42,proposed,0.9553571428571429,0.5,19
5,normal,123,non_denoised,0.9231076759061834,0.5,19
5,normal,123,wavelet,0.9133795309168443,0.5,19
5,normal,123,proposed,0.9601545842217484,0.5,19
5,truck,123,non_denoised,0.9240405117270789,0.5,19
5,truck,123,wavelet,0.9208422174840085,0.5,19
5,truck,123,proposed,0.9533582089552238,0.5,19
5,normal,2024,non_denoised,0.9436300639658849,0.5,19
